ID_HOGAR,exp_anim,own_appliances,own_tv,propiatot,propriegotot,pct_elevate,pct_private,pct_family,total_parcels,indice,parcels_notitle,parcels_unclear,parcels_unregistered,avgyears,avg_area,N_plot_own,N_no_document,N_title,tot_area,bono,hh_age,hh_head_fem,ethnic,head_casado,tot_members,tot_males,total_agriculture,hh_primary,no_hhmember,dependents,gastos,working_hours,working_days,mem_prodage,treated,areat,areas,proptrot,rentada,partir,ptrhh_ex,tpropia,tprop_ex,propia_ex,ptrhh_s1,rent_s1,partir_s1,ptrhh_s2,rent_s2,partir_s2,ptrhh_s3,propia_r,prop_rex,tpropia_r,tpropia_rex,ptrhh_r,ptrhh_rex,seedq,plantq,estq,otherpmq,seedq_p,plantq_p,estq_p,otherpmq_p,seedq_r,plantq_r,estq_r,otherpmq_r,seedq_c,plantq_c,estq_c,otherpmq_c,seedq1,plantq1,estq1,otherpmq1,seedq_d,plantq_d,estq_d,seedp,plantp,estp,pmtransc,seedtc,esttc,irrigc,ni_irrigc,lprep_cmo,plant_p,plant_cmo,pest_p,pest_cmo,harv_p,harv_cmo,labortc,lprep_h,lprep_m,lprep_n,lprep_c,lprep_p,plant_h,plant_m,plant_n,plant_c,pest_h,pest_m,pest_n,pest_c,harv_h,harv_m,harv_n,harv_c,ntjmale,ntjfem,ntjchild,ntjhh,ntjhired,ntjorn,pmtrans,aso_trans,siembra,seed,plant,est,otherpm,irrig,monoc,perntjfem,perntjchild,perntjmale,perntjhired,perareas,riego_pp,manq_p,mancost_p,fertq_p,fertcost_p,fungcost_p,inscost_p,herbcost_p,fungq_p,insq_p,riego_p,manuse_p,herbuse_p,nplants,areas_p,vharvl_p,tvharv,lprepp_hp,lprepp_mp,lprepp_np,lprepp_cp,lprepp_pp,ntjhh_p,ntjorn_p,per_pern,sh_ntjfem,sh_ntjchild,sh_ntjmale,sh_ntjhired
010152001999009551817,10,1,0,1,0,0,0,1,1,0,0,0,0,34,.050000001,1,0,1,.0500000007450581,0,56,1,0,0,4,0,2,0,4,3,435,161,110,3,1,.1500000022351742,.0149999996647239,0,0,0,.1500000022351742,3,.1500000022351742,.1500000022351742,3,0,0,0,0,0,0,0,0,0,0,0,0,3.181818187236786,0,0,0,0,0,0,0,3.181818187236786,0,0,0,0,0,0,0,3.181818187236786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,300,0,3,0,0,0,27,0,27,300,327,0,0,0,1,0,0,0,0,0,1,0,0,.91743118,.099999994,0,.4545454680919647,0,0,0,0,0,0,0,0,0,1,0,6,.0024999999441206,0,0,0,1,0,0,0,1,1,5,1,0,0,0
010152001999009561099,8,1,1,2,0,1,.5,.5,2,.5,0,1,0,7,.071099997,2,0,2,.1421999968588352,1,41,0,0,0,5,2,2,1,5,4,1040,113,64,4,1,.1767999976873398,.0599999986588955,0,0,0,.1767999976873398,4,.1767999976873398,.1767999976873398,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,3,2,0,0,0,0,0,400,1,1,0,0,10,5,0,15,400,415,0,0,0,0,0,0,1,0,0,.33333334,0,.66666669,.96739131,.33936653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0846999990753829,0,0,0,0,0,0,0,0,0,50,0,0,0,0
010152001999010010756,10,1,1,3,1,1,.66666669,.33333334,3,.66666669,2,0,0,14.666667,.029999999,3,2,1,.0299999993294477,1,46,1,0,0,5,0,3,0,5,4,1410,56,90,3,1,.0899999979883432,.0189999998547137,0,0,0,.0899999979883432,4,.0899999979883432,.0899999979883432,0,0,0,4,0,0,0,0,0,0,0,0,0,8.636363625526428,0,0,0,3.181818187236786,0,0,0,0,0,0,0,5.454545438289642,0,0,0,8.636363625526428,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,0,0,0,0,0,400,0,8,0,0,0,34,0,34,400,434,1,2,0,1,0,0,0,0,1,1,0,0,.92171717,.21111111,0,750,25,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
010152001999010020824,0,1,1,1,0,1,1,0,1,1,0,1,0,2,0,1,0,1,0,1,30,1,0,0,7,4,1,0,7,6,282,103,72,4,1,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,10.00000023841858,30,0,0,10.00000023841858,0,0,0,0,0,0,0,0,30,0,0,10.00000023841858,30,0,0,0,0,0,0,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,8,20,20,0,0,6,20,20,0,0,0,0,500,8,20,20,0,22,60,60,142,500,642,1,2,1,1,1,0,0,0,1,.40714285,.40714285,.18571429,.79290557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010152001999010030710,0,0,0,1,0,1,1,0,1,1,1,0,0,3,0,1,1,0,0,1,39,1,0,0,9,3,2,0,9,8,380,290,130,4,1,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2.727272808551788,0,0,0,0,0,0,0,2.727272808551788,0,0,0,0,0,0,0,2.727272808551788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,2,3,0,0,0,0,0,300,0,0,0,0,4,6,0,10,300,310,0,0,0,1,0,0,0,0,0,.60000002,0,.40000001,.969697,0,0,4.545454502105713,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010152001999010040749,27,1,0,1,0,1,.5,0,2,0,0,0,0,20,.1645,1,0,1,.1644999980926514,1,68,0,0,0,3,1,2,1,3,2,0,112,60,2,1,0,.0899999979883432,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,10.00000017881393,0,0,0,10.00000017881393,0,0,0,0,0,0,0,0,0,0,0,10.00000017881393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,50,0,6,0,5,10,0,6,0,0,0,0,0,300,0,6,0,0,0,18,0,18,305,323,0,0,0,1,0,0,0,0,0,1,0,0,.94424611,0,0,0,60,0,0,0,0,0,0,0,0,1,0,0,.0799999982118607,0,0,0,0,0,0,0,0,0,49,0,0,0,0
010152001999010051385,10,0,0,3,0,1,.33333334,.66666669,3,.33333334,0,1,0,8.666667,1.0583333,3,0,3,3.174999997019768,1,43,0,0,0,7,3,2,1,7,6,1520,164,76,3,1,.2199999988079071,.1400000005960465,0,0,0,.2199999988079071,4,.2199999988079071,.2199999988079071,0,0,0,0,0,0,4,0,0,0,0,0,0,5.454545617103577,0,0,0,0,0,0,0,0,0,0,0,5.454545617103577,0,0,0,5.454545617103577,0,0,0,0,0,0,16,0,0,0,16,0,0,0,0,100,100,0,0,0,0,100,1,0,0,0,0,1,0,0,1,0,0,0,400,1,1,0,0,3,1,0,4,401,405,1,2,0,1,0,0,0,0,0,.25,0,.75,.99047619,.63636363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13944999720843,0,0,2,2,2,0,0,6,6,35,.33333334,.33333334,.33333334,0
010152001999010071825,16,1,1,4,0,1,.5,.5,4,1,2,2,0,24,.086750001,4,2,2,.3470000103116036,0,53,0,0,0,3,1,1,0,3,2,0,101,52,3,1,.119999997317791,.119999997317791,0,0,0,.119999997317791,3,.119999997317791,.119999997317791,0,0,0,3,0,0,0,0,0,0,0,0,0,5.454545438289642,0,0,0,5.454545438289642,0,0,0,0,0,0,0,0,0,0,0,5.454545438289642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,6,9,0,0,0,0,0,300,3,3,0,0,15,21,0,36,300,336,0,0,0,1,0,0,0,0,1,.58333331,0,.41666666,.89285713,1,0,2000,0,0,0,0,0,0,0,0,0,1,0,4,.2870000116527081,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010152001999010081383,0,1,1,1,0,1,0,1,1,1,1,0,0,40,.0099999998,1,1,0,.0099999997764826,0,60,0,0,0,9,5,0,1,9,8,685,268,120,6,1,.0199999995529652,.0024000001139939,0,0,0,.0199999995529652,2,.0199999995529652,.0199999995529652,0,0,0,2,0,0,0,0,0,0,0,0,0,1.818181842565537,0,0,0,1.818181842565537,0,0,0,0,0,0,0,0,0,0,0,1.818181842565537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,200,0,3,0,0,0,9,0,9,200,209,0,0,0,1,0,0,0,0,0,1,0,0,.95871556,.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0002999999924214,0,0,3,0,0,0,0,3,3,0,0,0,1,0
010152001999010101710,0,0,1,1,0,1,1,0,1,1,1,0,0,4,0,1,1,0,0,1,40,0,0,0,4,1,1,1,4,3,60,62,44,2,1,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1.818181872367859,0,0,0,1.818181872367859,0,0,0,0,0,0,0,0,0,0,0,1.818181872367859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,300,0,1,0,0,1,3,0,4,300,304,0,0,0,1,0,0,0,0,0,.75,0,.25,.98717946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
